abstract,abstractnote,address,annote,archiveprefix,articleno,author,author1_email,author1_url,author2_email,author2_url,bdsk-url-1,booktitle,chapter,citation_key,collection,contact,copyright,date,day,doi,edition,editor,entry_type,eprint,file,howpublished,institution,isbn,issn,issue,issue_date,journal,keywords,language,lccn,location,month,note,number,numpages,organization,pages,pmcid,pmid,primaryclass,publisher,rights,school,series,shorttitle,title,type,url,urldate,volume,year
,,,,,,Jacob Bien and Jerome Friedman and Trevor Hastie and Noah Simon and Jonathan Taylor and Rob Tibshirani and Ryan J. Tibshirani,,,,,http://statweb.stanford.edu/~tibs/ftp/strong.pdf,,,strongrules,,,,,,,,,article,,,,,,,,,\textit{Journal of the Royal Statistical Society. Series B},,,,,,,1,,,,,,,,,,,,\textbf{Strong Rules for Discarding Predictors in Lasso-type Problems},,http://statweb.stanford.edu/~tibs/ftp/strong.pdf,,74,2012
,,New York,,,,Hans Lohninger,,,,,http://www.vias.org/tmdatanaleng/index.html,,,Lohninger,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,Springer-Verlag,,,,,\textbf{Teach/Me Data Analysis},,http://www.vias.org/tmdatanaleng/index.html,,,1999
,,New York,,,,Jerome H. Friedman and Trevor Hastie and Robert Tibshirani,,,,,,\textit{The Elements of Statistical Learning},,esl,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,,,,,Springer,,,,,\textbf{The Elements of Statistical Learning},,,,,2001
,,New York,,,,Jerome Friedman and Trevor Hastie and Robert Tibshirani,,,,,,\textit{The Elements of Statistical Learning},,esl,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,,,,,Springer,,,,,\textbf{The Elements of Statistical Learning},,,,,2001
,,New York,,,,Jerome Friedman and Trevor Hastie and Robert Tibshirani,,,,,https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII_print12.pdf,\textit{The Elements of Statistical Learning},,esl,,,,,,,,,book,,,,,,,,,,,,,,,,,,,,,,,Springer,,,,,\textbf{The Elements of Statistical Learning},,https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII_print12.pdf,,,2001
,,New York,,,,Jerome Friedman and Trevor Hastie and Robert Tibshirani,,,,,,\textit{The Elements of Statistical Learning},,esl,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,,,,,Springer,,,,,\textbf{The Elements of Statistical Learning},,,,,2001
,,New York,,,,Jerome Friedman and Trevor Hastie and Robert Tibshirani,,,,,,\textit{The Elements of Statistical Learning},,esl,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,,,,,Springer,,,,,\textbf{The Elements of Statistical Learning},,,,,2001
,,New York,,,,Jerome Friedman and Trevor Hastie and Robert Tibshirani,,,,,,\textit{The Elements of Statistical Learning},,esl,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,,,,,Springer,,,,,\textbf{The Elements of Statistical Learning},,,,,2001
,,New York,,,,Jerome Friedman and Trevor Hastie and Robert Tibshirani,,,,,,\textit{The Elements of Statistical Learning},,esl,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,,,,,Springer,,,,,\textbf{The Elements of Statistical Learning},,,,,2001
,,New York,,,,Jerome Friedman and Trevor Hastie and Robert Tibshirani,,,,,,\textit{The Elements of Statistical Learning},,esl,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,,,,,Springer,,,,,\textbf{The Elements of Statistical Learning},,,,,2001
